Date,Open,High,Low,Close,Adj Close,Volume
2023-09-15 09:30:00-04:00,15417.232421875,15434.5947265625,15385.99609375,15392.0908203125,15392.0908203125,0
2023-09-15 09:35:00-04:00,15391.431640625,15403.84375,15376.71484375,15376.71484375,15376.71484375,17283914
2023-09-15 09:40:00-04:00,15374.8017578125,15380.1162109375,15337.6689453125,15347.6865234375,15347.6865234375,19788395
2023-09-15 09:45:00-04:00,15346.5478515625,15349.48046875,15330.14453125,15338.2685546875,15338.2685546875,16930677
2023-09-15 09:50:00-04:00,15338.744140625,15342.953125,15332.60546875,15339.744140625,15339.744140625,14444842
2023-09-15 09:55:00-04:00,15339.9560546875,15346.3134765625,15304.017578125,15319.24609375,15319.24609375,16127680
2023-09-15 10:00:00-04:00,15331.1962890625,15340.4365234375,15315.0107421875,15315.0107421875,15315.0107421875,15081224
2023-09-15 10:05:00-04:00,15325.87890625,15330.2626953125,15298.43359375,15301.83203125,15301.83203125,14164266
2023-09-15 10:10:00-04:00,15301.455078125,15312.521484375,15294.4072265625,15295.0380859375,15295.0380859375,12232451
2023-09-15 10:15:00-04:00,15292.962890625,15311.1826171875,15285.8671875,15304.970703125,15304.970703125,12878105
2023-09-15 10:20:00-04:00,15307.259765625,15323.0400390625,15304.470703125,15314.2451171875,15314.2451171875,12336623
2023-09-15 10:25:00-04:00,15311.06640625,15313.240234375,15294.7099609375,15310.228515625,15310.228515625,10700489
2023-09-15 10:30:00-04:00,15307.95703125,15314.359375,15293.751953125,15311.10546875,15311.10546875,10677787
2023-09-15 10:35:00-04:00,15311.9794921875,15315.38671875,15305.4052734375,15307.9873046875,15307.9873046875,9682617
2023-09-15 10:40:00-04:00,15308.431640625,15308.431640625,15287.806640625,15288.0087890625,15288.0087890625,9785107
2023-09-15 10:45:00-04:00,15290.9814453125,15297.9931640625,15278.0732421875,15286.951171875,15286.951171875,11639581
2023-09-15 10:50:00-04:00,15287.193359375,15287.193359375,15245.0810546875,15247.0107421875,15247.0107421875,13790927
2023-09-15 10:55:00-04:00,15246.6015625,15256.5478515625,15237.46875,15237.46875,15237.46875,9905570
2023-09-15 11:00:00-04:00,15237.919921875,15244.9443359375,15234.7392578125,15242.91796875,15242.91796875,10080617
